Scientific name,Genus,Species,Latitude,Longitude,,,,,,
Cottus_carolinae,Cottus,carolinae,33.725,-85.60111,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7256,-85.605,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7256,-85.605,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7256,-85.605,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7256,-85.605,,,,,,
Cottus_carolinae,Cottus,carolinae,37.39083,-85.61028,,,,,,
Cottus_carolinae,Cottus,carolinae,34.0625,-85.61195,,,,,,
Cottus_carolinae,Cottus,carolinae,33.71338,-85.61825,,,,,,
Cottus_carolinae,Cottus,carolinae,33.713383,-85.61825,,,,,,
Cottus_carolinae,Cottus,carolinae,36.3632,-85.6195,,,,,,
Cottus_carolinae,Cottus,carolinae,37.2435,-85.6295,,,,,,
Cottus_carolinae,Cottus,carolinae,37.10028,-85.63416,,,,,,
